"Timestamp","Did you study or teach in India during the Covid-19 pandemic? (In case of a student or teacher) Or if you are a parent, did your children study in India during the pandemic? (Here the pandemic specifically refers to the period between (between March 2020 and Feb 2022)","Are you a?","In which category of institution did your child study during the pandemic period (between March 2020 and Feb 2022)?","Did the introduction of online classes and remote learning during the pandemic cause financial burden on your family?","How satisfied are you with the way online learning was managed by your child’s school/university during the pandemic?","What challenges has your child faced in online classes? (multiple choices can be selected)","Do you have concerns about your child’s academic competence due to shift towards online learning during the pandemic?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which of these is most suitable for you?","What are the improvements your child's institution should have made while providing online education?(Optional question)","In which category of institution did you teach during the  pandemic period (between March 2020 and Feb 2022)?","Were you able to adapt with new ways of teaching?","What was the level of engagement of students  in your virtual classes?","Which of these benefits from online teaching apply to you? (multiple choices can be selected)","What challenges did you face while teaching online?  (multiple choices can be selected)","Did your students ask more questions in Remote Learning as compared to physical classes?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which form of education is most suitable according to you?","In which category of institution did you study during the pandemic period? (between March 2020 and Feb 2022)","Which devices have you used most often while learning online?","How often did you attend your online classes ?","Which of these possible benefits from online learning during the pandemic apply to you?  (multiple choices can be selected)","What challenges did you face with online education?  (multiple choices can be selected)","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Was your understanding from online learning satisfactory?","Which form of education is most suitable according to you?"
"2022/10/16 9:19:36 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","4","Communication gap with peers;Not having proper environment;Internet problem during studies and exams.","3","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/16 9:48:42 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","More convenient to contact teachers from home to discuss doubts and get guidance","Internet unavailability;Power cuts;-Irregular schedules","Hybrid classes should be a regular provision to incorporate digital literacy","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/20 10:37:03 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Communication gap with peers","3","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","More interactive","","","","","","","","","","","","","","","",""
"2022/10/21 4:36:35 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/21 4:48:50 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Desktop","Rarely","Recorded lectures made daily schedule flexible","Lack of resources;Unfamiliarity with technology","Hybrid classes should be conducted only during emergencies","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/21 4:49:24 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","2","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/21 4:50:01 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","Internet unavailability;Lack of resources;Unfamiliarity with technology;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","2","Online classes ( Through video conferencing  or recorded lectures, and online exams )"
"2022/10/26 8:16:42 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","Internet unavailability;Lack of resources;Unfamiliarity with technology;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Online classes ( Through video conferencing  or recorded lectures, and online exams )"
"2022/10/26 8:42:04 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better","Lack of resources;Unfamiliarity with technology;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/26 8:42:48 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better","Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/26 8:45:03 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better","Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/26 8:45:33 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better","Unfamiliarity with technology","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/26 8:47:16 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","5","Not having proper environment","2","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/26 9:59:07 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","5","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/27 6:16:23 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Rarely","Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Lack of resources","Hybrid classes should be a regular provision to incorporate digital literacy","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/27 7:10:33 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible;More convenient to contact teachers from home to discuss doubts and get guidance","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","5","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:27:03 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","Recorded lectures made daily schedule flexible","Lack of resources","Hybrid classes should be a regular provision to incorporate digital literacy","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:31:43 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:33:21 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:34:31 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:34:58 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Rarely","Recorded lectures made daily schedule flexible","Lack of resources;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:35:06 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:35:47 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Desktop","Attended but not very regular","More study resources helped prepare for exams better;Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Lack of resources","Hybrid classes should be a regular provision to incorporate digital literacy","2","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 8:59:41 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","4","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/28 9:33:33 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 9:38:24 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Mobile phone","Attended but not very regular","Syllabus was reduced","Distraction was very high","Hybrid classes should be conducted only during emergencies","3","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/28 10:12:39 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","Unfamiliarity with technology","","3","Online classes ( Through video conferencing  or recorded lectures, and online exams )"
"2022/10/28 10:19:20 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Rarely","Recorded lectures made daily schedule flexible;More convenient to contact teachers from home to discuss doubts and get guidance","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","2","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 10:20:32 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 10:21:53 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Internet unavailability;Many teachers resorted to just using slides as opposed to using a writing board. Also, many teachers would just send pre-recorded lectures instead of teaching live.","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 10:42:09 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/28 10:56:30 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/28 11:21:54 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","2","Lack of Attention;Communication gap with peers","3","Hybrid classes should be a regular provision to incorporate digital literacy","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/28 11:22:15 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Communication gap with peers;Not having proper environment;Network issues ","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/28 11:55:45 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","","Hybrid classes should be conducted only during emergencies","3","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/29 4:09:26 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","5","2","Online resources helped demonstrate concepts more effectively","Poor interaction","They asked fewer doubts","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/29 5:52:12 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Communication gap with peers;Not having proper environment","5","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","To ensure to gain child's attention and one to one interaction to cross check .","","","","","","","","","","","","","","","",""
"2022/10/29 6:07:53 am GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","5","Communication gap with peers;Not having proper environment","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","The practical experience is missing in science subjects. The ambience of class is missing ","","","","","","","","","","","","","","","",""
"2022/10/29 7:21:52 am GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 7:37:11 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","5","Not having proper environment","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 8:05:21 am GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Communication gap with peers","2","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 9:05:05 am GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Lack of Attention;Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Measures to increase attentiveness","","","","","","","","","","","","","","","",""
"2022/10/29 10:03:20 am GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Attended but not very regular","Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Lack of resources;Unfamiliarity with technology;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Online classes ( Through video conferencing  or recorded lectures, and online exams )"
"2022/10/29 10:52:51 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Lack of Attention;Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Time spent on self learning.","","","","","","","","","","","","","","","",""
"2022/10/29 11:03:19 am GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 11:19:55 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Not having proper environment","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 11:20:26 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Flexibility in conducting classes","Poor interaction","They asked fewer doubts","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/29 11:25:43 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be a regular provision to incorporate digital literacy","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Arrange online classes","","","","","","","","","","","","","","","",""
"2022/10/29 12:48:23 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","4","Not having proper environment","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 1:18:06 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 2:21:24 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Not having proper environment","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 2:28:46 pm GMT+5:30","Yes","Parent/Guardian","College or University","Yes ,it had a considerable impact","5","Communication gap with peers","3","Hybrid classes should be conducted only during emergencies","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 2:30:41 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","2","Lack of Attention;Communication gap with peers;Not having proper environment","4","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Should be concession in fees and also gadget to be provided to online learning by school and also should be in restricted mode ","","","","","","","","","","","","","","","",""
"2022/10/29 2:31:10 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","2","Teachers were not available to discuss doubts","1","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 2:31:59 pm GMT+5:30","Yes","Parent/Guardian","College or University","Yes ,it had a considerable impact","3","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","5","Hybrid classes should be conducted only during emergencies","Online classes ( Through video conferencing  or recorded lectures, and online exams )","Emphasize on practicals","","","","","","","","","","","","","","","",""
