Timestamp,Features
2022/10/29 4:09:26 am GMT+5:30,College or university 
2022/10/29 4:09:26 am GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/29 4:09:26 am GMT+5:30,Poor interaction 
2022/10/29 4:09:26 am GMT+5:30,They asked fewer doubts 
2022/10/29 4:09:26 am GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/10/29 4:09:26 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 11:20:26 am GMT+5:30,College or university 
2022/10/29 11:20:26 am GMT+5:30,Flexibility in conducting classes 
2022/10/29 11:20:26 am GMT+5:30,Poor interaction 
2022/10/29 11:20:26 am GMT+5:30,They asked fewer doubts 
2022/10/29 11:20:26 am GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/10/29 11:20:26 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 3:20:35 pm GMT+5:30,High School (till 12 th grade) 
2022/10/29 3:20:35 pm GMT+5:30,Flexibility in conducting classes 
2022/10/29 3:20:35 pm GMT+5:30,Online assignments and tests are easier to evaluate 
2022/10/29 3:20:35 pm GMT+5:30,Saved time and effort during lectures 
2022/10/29 3:20:35 pm GMT+5:30,Poor interaction 
2022/10/29 3:20:35 pm GMT+5:30,Low attendance 
2022/10/29 3:20:35 pm GMT+5:30,It was nearly the same 
2022/10/29 3:20:35 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/10/29 3:20:35 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/29 3:42:36 pm GMT+5:30,Primary or Middle School (till 5 th grade) 
2022/10/29 3:42:36 pm GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/29 3:42:36 pm GMT+5:30,Poor interaction 
2022/10/29 3:42:36 pm GMT+5:30,Unfamiliarity with technology 
2022/10/29 3:42:36 pm GMT+5:30,Low attendance 
2022/10/29 3:42:36 pm GMT+5:30,Power cuts 
2022/10/29 3:42:36 pm GMT+5:30,Can't say 
2022/10/29 3:42:36 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/29 3:42:36 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/29 5:51:21 pm GMT+5:30,High School (till 12 th grade) 
2022/10/29 5:51:21 pm GMT+5:30,Flexibility in conducting classes 
2022/10/29 5:51:21 pm GMT+5:30,Online assignments and tests are easier to evaluate 
2022/10/29 5:51:21 pm GMT+5:30,Saved time and effort during lectures 
2022/10/29 5:51:21 pm GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/29 5:51:21 pm GMT+5:30,Low attendance 
2022/10/29 5:51:21 pm GMT+5:30,Power cuts 
2022/10/29 5:51:21 pm GMT+5:30,It was nearly the same 
2022/10/29 5:51:21 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/10/29 5:51:21 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 6:33:52 pm GMT+5:30,College or university 
2022/10/29 6:33:52 pm GMT+5:30,Flexibility in conducting classes 
2022/10/29 6:33:52 pm GMT+5:30,Saved time and effort during lectures 
2022/10/29 6:33:52 pm GMT+5:30,Poor interaction 
2022/10/29 6:33:52 pm GMT+5:30,It was nearly the same 
2022/10/29 6:33:52 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/29 6:33:52 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/29 9:57:25 pm GMT+5:30,Primary or Middle School (till 5 th grade) 
2022/10/29 9:57:25 pm GMT+5:30,Flexibility in conducting classes 
2022/10/29 9:57:25 pm GMT+5:30,They asked fewer doubts 
2022/10/29 9:57:25 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/10/29 9:57:25 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/30 3:55:48 am GMT+5:30,College or university 
2022/10/30 3:55:48 am GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/30 3:55:48 am GMT+5:30,Nothing 
2022/10/30 3:55:48 am GMT+5:30,It was nearly the same 
2022/10/30 3:55:48 am GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/30 3:55:48 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/30 8:04:06 am GMT+5:30,College or university 
2022/10/30 8:04:06 am GMT+5:30,Saved time and effort during lectures 
2022/10/30 8:04:06 am GMT+5:30,Poor interaction 
2022/10/30 8:04:06 am GMT+5:30,A constant difficulty to judge and evaluate learning from what's is being taught. Practicals are not possible  
2022/10/30 8:04:06 am GMT+5:30,They asked fewer doubts 
2022/10/30 8:04:06 am GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/30 8:04:06 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/30 9:11:38 am GMT+5:30,High School (till 12 th grade) 
2022/10/30 9:11:38 am GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/30 9:11:38 am GMT+5:30,Power cuts 
2022/10/30 9:11:38 am GMT+5:30,They asked more doubts 
2022/10/30 9:11:38 am GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/30 9:11:38 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/30 9:53:25 am GMT+5:30,College or university 
2022/10/30 9:53:25 am GMT+5:30,Flexibility in conducting classes 
2022/10/30 9:53:25 am GMT+5:30,Online assignments and tests are easier to evaluate 
2022/10/30 9:53:25 am GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/30 9:53:25 am GMT+5:30,Low attendance 
2022/10/30 9:53:25 am GMT+5:30,Internet Banwidth Issues 
2022/10/30 9:53:25 am GMT+5:30,They asked fewer doubts 
2022/10/30 9:53:25 am GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/30 9:53:25 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/30 1:15:49 pm GMT+5:30,College or university 
2022/10/30 1:15:49 pm GMT+5:30,Flexibility in conducting classes 
2022/10/30 1:15:49 pm GMT+5:30,Saved time and effort during lectures 
2022/10/30 1:15:49 pm GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/30 1:15:49 pm GMT+5:30,Low attendance 
2022/10/30 1:15:49 pm GMT+5:30,Network problem  
2022/10/30 1:15:49 pm GMT+5:30,It was nearly the same 
2022/10/30 1:15:49 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/30 1:15:49 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/30 2:22:17 pm GMT+5:30,College or university 
2022/10/30 2:22:17 pm GMT+5:30,Flexibility in conducting classes 
2022/10/30 2:22:17 pm GMT+5:30,Online assignments and tests are easier to evaluate 
2022/10/30 2:22:17 pm GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/10/30 2:22:17 pm GMT+5:30,Poor interaction 
2022/10/30 2:22:17 pm GMT+5:30,Power cuts 
2022/10/30 2:22:17 pm GMT+5:30,It was nearly the same 
2022/10/30 2:22:17 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/30 2:22:17 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/30 5:17:02 pm GMT+5:30,Primary or Middle School (till 5 th grade) 
2022/10/30 5:17:02 pm GMT+5:30,Flexibility in conducting classes 
2022/10/30 5:17:02 pm GMT+5:30,Poor interaction 
2022/10/30 5:17:02 pm GMT+5:30,Unfamiliarity with technology 
2022/10/30 5:17:02 pm GMT+5:30,They asked fewer doubts 
2022/10/30 5:17:02 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/30 5:17:02 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/31 9:18:29 pm GMT+5:30,High School (till 12 th grade) 
2022/10/31 9:18:29 pm GMT+5:30,Flexibility in conducting classes 
2022/10/31 9:18:29 pm GMT+5:30,Low attendance 
2022/10/31 9:18:29 pm GMT+5:30,Can't say 
2022/10/31 9:18:29 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/31 9:18:29 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/11/07 9:44:26 pm GMT+5:30,College or university 
2022/11/07 9:44:26 pm GMT+5:30,Flexibility in conducting classes 
2022/11/07 9:44:26 pm GMT+5:30,Online resources helped demonstrate concepts more effectively 
2022/11/07 9:44:26 pm GMT+5:30,Poor interaction 
2022/11/07 9:44:26 pm GMT+5:30,Low attendance 
2022/11/07 9:44:26 pm GMT+5:30,They asked fewer doubts 
2022/11/07 9:44:26 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/11/07 9:44:26 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/11/21 4:03:15 pm GMT+5:30,College or university 
2022/11/21 4:03:15 pm GMT+5:30,Flexibility in conducting classes 
2022/11/21 4:03:15 pm GMT+5:30,Poor interaction 
2022/11/21 4:03:15 pm GMT+5:30,Low attendance 
2022/11/21 4:03:15 pm GMT+5:30,Power cuts 
2022/11/21 4:03:15 pm GMT+5:30,They asked fewer doubts 
2022/11/21 4:03:15 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/11/21 4:03:15 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/11/21 4:49:33 pm GMT+5:30,College or university 
2022/11/21 4:49:33 pm GMT+5:30,Flexibility in conducting classes 
2022/11/21 4:49:33 pm GMT+5:30,Saved time and effort during lectures 
2022/11/21 4:49:33 pm GMT+5:30,Poor interaction 
2022/11/21 4:49:33 pm GMT+5:30,Low attendance 
2022/11/21 4:49:33 pm GMT+5:30,It was nearly the same 
2022/11/21 4:49:33 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/11/21 4:49:33 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/11/22 9:33:33 am GMT+5:30,College or university 
2022/11/22 9:33:33 am GMT+5:30,Flexibility in conducting classes 
2022/11/22 9:33:33 am GMT+5:30,Power cuts 
2022/11/22 9:33:33 am GMT+5:30,It was nearly the same 
2022/11/22 9:33:33 am GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/11/22 9:33:33 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/11/22 2:20:13 pm GMT+5:30,College or university 
2022/11/22 2:20:13 pm GMT+5:30,Flexibility in conducting classes 
2022/11/22 2:20:13 pm GMT+5:30,Saved time and effort during lectures 
2022/11/22 2:20:13 pm GMT+5:30,Poor interaction 
2022/11/22 2:20:13 pm GMT+5:30,Low attendance 
2022/11/22 2:20:13 pm GMT+5:30,They asked fewer doubts 
2022/11/22 2:20:13 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular modes of teaching 
2022/11/22 2:20:13 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/11/28 11:47:12 am GMT+5:30,College or university 
2022/11/28 11:47:12 am GMT+5:30,They asked fewer doubts 
2022/11/28 11:47:12 am GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/11/28 11:47:12 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
